Catégorie,Diagnostic,clean_categorie,predicted_categorie
M3 > Commercial,MAJ CP,M3,M3
M3 > Commercial,TRAITE,M3,Reseau
M3 > Commercial,MAJ CP,M3,Securité
M3 > Commercial,MAJ CP,M3,M3
M3 > Commercial,try again,M3,M3
M3 > Commercial,MAJ CP,M3,M3
M3 > Commercial,CONNEXION,M3,M3
M3 > Commercial,try again,M3,M3
M3 > Finance,statut 2,M3,M3
M3 > Finance,Traité,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,traité,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,TRAITE,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,déjà,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,Securité
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,RAS,M3,M3
M3 > Finance,MAJ tarif,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,MAJ CP,M3,CRM
M3 > Finance,MAJ CS,M3,M3
M3 > Finance,MAJ RIB,M3,M3
M3 > Finance,MAJ CP,M3,M3
M3 > Finance,CREATION,M3,M3
M3 > Finance,OK,M3,Reseau
M3 > Finance,MAJ CP,M3,Reseau
M3 > Finance,MAJ CP,M3,Materiel
M3 > Finance,MAJ CP,M3,Securité
M3 > SCM,MAJ CP,M3,Securité
M3 > SCM,CONNEXION,M3,Securité
M3 > Technique,CONNEXION,M3,M3
Materiel > Laptop,PoSTE hs,Materiel,Securité
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,ENCOURS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,M3
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,M3
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Achat,ENCOURS,Optimaint,Securité
Optimaint > Achat,RAS,Optimaint,Securité
Optimaint > Intervention,ENCOURS,Optimaint,Securité
Optimaint > Intervention,RAS,Optimaint,Securité
Optimaint > Intervention,RAS,Optimaint,Securité
Optimaint > Intervention,RAS,Optimaint,Securité
Optimaint > Intervention,RAS,Optimaint,CRM
Optimaint > Intervention,RAS,Optimaint,Securité
Optimaint > Techniques,RAS,Optimaint,M3
Optimaint > Techniques,RAS,Optimaint,Securité
Optimaint > Techniques,RAS,Optimaint,M3
Optimaint > Techniques,OK,Optimaint,Securité
Postes de travail > Installation et Configuration,mes accès,Postes,Securité
Postes de travail > Installation et Configuration,traité,Postes,Securité
Postes de travail > Installation et Configuration,ras,Postes,CRM
Postes de travail > Installation et Configuration,traitée,Postes,Securité
Postes de travail > Installation et Configuration,ras,Postes,Securité
Postes de travail > Installation et Configuration,ras,Postes,Securité
Postes de travail > Installation et Configuration,M3,Postes,M3
Postes de travail > Installation et Configuration,OK,Postes,Securité
Postes de travail > Installation et Configuration,bulletin,Postes,Securité
Reseau > LAN,RAS,Reseau,Securité
Reseau > LAN,RAS,Reseau,M3
Securité > Profil,DOUBLON,Securité,Postes
Securité > Profil,DROITS,Securité,Postes
Securité > Profil,DROITS M3,Securité,M3
Securité > Profil,Droits,Securité,Securité
Securité > Profil,disabled,Securité,Securité
Securité > Profil,SITE CNPS,Securité,CRM
Securité > Profil,RELANCE,Securité,CRM
Securité > Profil,traité,Securité,M3
Securité > Profil,ras,Securité,Securité
Securité > Profil,ras,Securité,CRM
Securité > Profil,OK,Securité,Securité
Système > Serveur I,OK,Système,Securité
Système > Serveur X,Bande,Système,Securité
Système > Serveur X,ras,Système,Securité
Système > Serveur X,OK,Système,CRM
Système > Serveur X,RAS,Système,CRM
Système > Serveur X,ras,Système,Securité
Système > Serveur X,ras,Système,CRM
Système > Serveur X,RAS,Système,Securité
Système > Serveur X,ras,Système,Securité
Système > Serveur X,OK,Système,Securité
Système > Serveur X,OK,Système,CRM
Système > Serveur X,ras,Système,Postes
Système > Serveur X,OK,Système,Applications
Système > Serveur X,ras,Système,Postes
Système > Serveur X,ras,Système,Postes
Système > Serveur X,ras,Système,Postes
Système > Serveur X,OK,Système,Applications
Applications collaboratives > GED,SUPPRESSION DOCUMENT,Applications,Postes
Applications collaboratives > GED,Difficulté à mettre les bulletins dans la GED,Applications,Postes
Applications collaboratives > GED,Problème de connexion à docubase desktop,Applications,Flotte
Applications collaboratives > GED,Problème de paramétrage de la DOCUBASE DESKTOP,Applications,Securité
Applications collaboratives > GED,Nous ne disposons d'aucun element permettant d'analyser le probleme,Applications,Applications
Applications collaboratives > GED,Problème d'ouverture de lien GED,Applications,Postes
Applications collaboratives > Internet,ACCES ADOBESIGN,Applications,Postes
Applications collaboratives > Internet,"Signature requise dans GE -DEMANDE DE SORTIE LITTORAL""""",Applications,Postes
Applications collaboratives > Internet,PROBLEME ACCES PLATEFORME WEB ORANGE MONEY - APPLICATION BLOQUEE PAR FORTIPROXY,Applications,Postes
Applications collaboratives > Internet,Accès aux réseaux sociaux bloqués,Applications,Securité
Applications collaboratives > Internet,Diffiulté à travailler en ligne(plateforme BEAC),Applications,E-lions
Applications collaboratives > Internet,Pas d'accès à internet,Applications,M3
Applications collaboratives > Internet,Probleme de saturation mémoire sur le fortiproxy,Applications,Postes
Applications collaboratives > Internet,accès internet sur le serveur Sabcdigen601--> blocages déploiement de Smartcash en production,Applications,Reseau
Applications collaboratives > Internet,Demande d'accès à Internet,Applications,Applications
Applications collaboratives > Internet,connection à la plateforme BEAC,Applications,Postes
Applications collaboratives > Internet,Problème d'accès à e-lions.,Applications,Postes
Applications collaboratives > Internet,Problème lié au proxy.,Applications,Applications
Applications collaboratives > Internet,Souci de connexion,Applications,Postes
Applications collaboratives > Internet,lenteur réseau et site indisponible,Applications,Postes
Applications collaboratives > Internet,Google earth bloqué,Applications,Postes
Applications collaboratives > Internet,L'utilisateur nous informe que le probleme n'est plus d'actualité,Applications,Postes
Applications collaboratives > Internet,je n'ai pas de compte pour me connecter au serveur et analyser.,Applications,Applications
Applications collaboratives > Internet,Accès Internet,Applications,M3
Applications collaboratives > Internet,"La page jaune du NAC s'affiche quelque soit le navigateur alors que le réseau affiche bien Accès Internet"", Merci de transférer à Charles MOTASSI svp.""",Applications,Applications
Applications collaboratives > Internet,Traffic Internet Down en Download,Applications,Postes
Applications collaboratives > Messagerie,impossibilité d'accès a OUTLOOK,Applications,M3
Applications collaboratives > Messagerie,LENTEURS DES MAILS,Applications,Postes
Applications collaboratives > Messagerie,Mails de notification des congés,Applications,M3
Applications collaboratives > Messagerie,Réponse automatique : Remplacement assuré par Alain,Applications,Applications
Applications collaboratives > Messagerie,outlook réétablie,Applications,Postes
Applications collaboratives > Messagerie,"Maintenance préventive mensuelle système du 16/01/2022 (Indisponibilité des services M3, Reporting BI)",Applications,Postes
Applications collaboratives > Messagerie,SUIVI MENSEUL DU COMPTE ASSOCIATION EFBC,Applications,Reseau
Applications collaboratives > Messagerie,Soucis mails CCD KUMBA,Applications,Postes
Applications collaboratives > Messagerie,RECEPTION EN MASSE DES MAILS PULSE,Applications,Postes
Applications collaboratives > Messagerie,Accès aus mails,Applications,Securité
Applications collaboratives > Messagerie,impossibilité d'accès a OUTLOOK,Applications,Postes
Applications collaboratives > Messagerie,"Bonjour M.

M. TAMEGNE est-il employé SABC ?

Si non, pour problème de licence notre politique n'accorde pas de messagerie au personnels occasionnels ou stagiaires.",Applications,Applications
Applications collaboratives > Messagerie,"Le réseau affiche sabc.cm.....pas d'internet"".""",Applications,Applications
Applications collaboratives > Messagerie,Problème de mails,Applications,M3
Applications collaboratives > Messagerie,"Bonjour ,

Mme BEBGA dispose bien d’une licence office365.

Le probleme est certainement local au poste de travail.

Merci d’installer l’assistant support office365 en cas de difficulté

Problèem de licence",Applications,Postes
Applications collaboratives > Messagerie,Réponse automatique : Ajout dans la boucle du groupe sabc,Applications,Securité
Applications collaboratives > Messagerie,activation application client office nécessaire,Applications,Postes
Applications collaboratives > Messagerie,698896308Accès internet non OK sur tablette User,Applications,Postes
Applications collaboratives > Messagerie,Difficulté d'accès à Outlook.,Applications,BDI
Applications collaboratives > Messagerie,Aucun verrou identifié sur ce compte,Applications,Postes
Applications collaboratives > Messagerie,Problème de copnnexion mail,Applications,M3
Applications collaboratives > Messagerie,Merci à O'VARICK d'envoyer les informations relatifs au certificat à Tdjani pour traitement,Applications,Postes
Applications collaboratives > Messagerie,Service rétabli,Applications,Reseau
Applications collaboratives > Messagerie,problème de mail,Applications,Postes
Applications collaboratives > Messagerie,balibo101 est expediteur indesirable pour M.TEDEDOM,Applications,Postes
Applications collaboratives > Messagerie,le compte office 365 ne parvient pas à ce connecter. problème d'internet,Applications,Postes
Applications collaboratives > Messagerie,Vérification des informations supplémentaires requises par le système,Applications,Securité
Applications collaboratives > Messagerie,Problème de déconfiguration du WIFI,Applications,M3
Applications collaboratives > Messagerie,Problème de connexion reseau,Applications,Securité
Applications collaboratives > Messagerie,"Bonsoir,

Si l’utilisatrice accedait à ses mail sur office 2016 alors le probleme est local au poste de travail.

Le profil disposant toujours d’une licence O365.

Refaire l’installation d’office proplus et si le probleme persiste ,installer l’assistant support office365

tout est redevenu normal. elle reçoit et envoie les mails",Applications,Postes
Applications collaboratives > Messagerie,"la machine est instable, plante régulièrement, disfonctionnement de Outlook",Applications,Postes
Applications collaboratives > Messagerie,lenteur constatée sur l'ensemble du site de bonaberi,Applications,Securité
Applications collaboratives > Messagerie,L'utilisateur doit demander la réinitialisation de son mot de passe Windows.,Applications,Securité
Applications collaboratives > Messagerie,Compte mise en quarantaine,Applications,Applications
Applications collaboratives > Messagerie,Refaire une nouvelle fiche d'identité,Applications,M3
Applications collaboratives > Messagerie,Impossible de recevoir les mails,Applications,Postes
Applications collaboratives > Messagerie,Impossible de recevoir les mails ds Outlook,Applications,M3
Applications collaboratives > Messagerie,"Bonjour,

Ces profils etaient deja actifs. Cf mailsde Helena dibongue avec la liste globale des delegues elusConfiguration profils Outlook OKALA et MBONO ok.

En attente de NLOM qui travaille la nuit.",Applications,M3
Applications collaboratives > Messagerie,"adresse m3@castel-afrique.com dans la liste des expéditeurs autorisés 

ajouter l'adresse m3@castel-afrique.com dans la liste des expéditeurs autorisés",Applications,M3
Applications collaboratives > Messagerie,"Problème de connexion, les notifications ne remontent",Applications,M3
Applications collaboratives > Messagerie,il ne s'agit pas du mail ccdkumba@castel-afrique.com mais celui de peter.wiyeh qui en l'occurene assure la fonction de ccd kumba,Applications,M3
Applications collaboratives > Messagerie,Utilisateur à risque du fait de l'utilisation d'une connexion externe,Applications,Postes
Applications collaboratives > Messagerie,"Fait

sera prise en compte dans la diffusion de demain",Applications,Postes
Autres Applications > GLPI,Transfert incidents dans leurs Sites,Autres,Postes
Autres Applications > GLPI,incident affecté a adele pourtant utilisateur est a l'ouest,Autres,Postes
Autres Applications > GLPI,transfert incident,Autres,E-lions
Autres Applications > GLPI,Incidents invisibles,Autres,Postes
Autres Applications > GLPI,Traitement Incident 240746,Autres,Postes
Autres Applications > GLPI,OK l'utilisateur a été transféré sur le littoral 1,Autres,Securité
Autres Applications > GLPI,Incident résolu,Autres,M3
Autres Applications > GLPI,Utilisateur MOUPE basculé sur le site de Bonaberi,Autres,Securité
Autres Applications > GLPI,Utilisateur NGOKO basculé sur e Siège,Autres,Securité
Autres Applications > GLPI,Utilisateur transféré sur le site de SOCAVER,Autres,Postes
Autres Applications > Logiciel Metier,Adobe sign - nombre limite d'accords atteints,Autres,M3
Autres Applications > Logiciel Metier,Mutation du profil dans le region du centre,Autres,M3
Autres Applications > Logiciel Metier,Demande traitée,Autres,M3
Autres Applications > Logiciel Metier,Reinitialisation du mot de passe Amplitude DIKONI01,Autres,Autres
Autres Applications > Logiciel Metier,Reinitialisation mot de passe amplitude profil YOPA,Autres,Postes
Autres Applications > Logiciel Metier,aucun soucis sur l'application claim,Autres,M3
Autres Applications > Logiciel Metier,Type de plainte cree,Autres,Postes
Autres Applications > Logiciel Metier,Le type de plainte existe,Autres,M3
Autres Applications > Logiciel Metier,DISPONIBILITE FUTURMASTER,Autres,Postes
Autres Applications > Logiciel Metier,Pb de connexion à elions,Autres,M3
Autres Applications > Logiciel Metier,problème de clé d'activation MS PROJECT,Autres,M3
Autres Applications > Logiciel Metier,Les dipes ont doublé parce que ceux ci ont été généré 2 fois,Autres,M3
Autres Applications > Logiciel Metier,"Voir le controle de gestion pour la generation du rapport de decembre

Joseph",Autres,M3
Autres Applications > Logiciel Metier,camion sortie par erreur,Autres,M3
Autres Applications > Logiciel Metier,Problème de lancement des application,Autres,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE AU 31/12/2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,RE: REQUETE,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE 31/12/21,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,VENTES DISTRIBUTEURS DECEMBRE 2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Fichier d'intégration budget 2022 SABC,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des soldes négatifs,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,OA 3274591 A DISSOCIER,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,VENTES CLIENTS DETAILLANTS M3 T4 2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,VENTES CLIENTS COMPTE CLE 2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE DES IMPAYES,M3,Workflows
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des consommations Décembre 2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,LIGNES NON REMONTEES AU PPS170,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des achats,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des consommations NEW 311221,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REMISE MTN A SUPPRIMER,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,FA SOSUCAM A VALIDER POUR REGLEMENT,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,SCAN ECA AO4 et autres problèmes du MT à résoudre : difficultés : relance pour résolution erreur de valeur du liquide nu HT sur les factures M3,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE MOUVEMENT CLIENT,M3,Securité
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE CHEQUES IMPAYES,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Remise au Statut 2,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des consommations Dec21,M3,Workflows
Autres Cat. Anterieures > M3-Exécution d'une requête,VENTES DISTRIBUTEURS T4 2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,ANALYSE REMISES T4 2021,M3,Postes
Autres Cat. Anterieures > M3-Exécution d'une requête,INTEGRATION API FICHES IMMOB PR A IMMOBILISER,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,VENTE CLIENT NGOULA DETA FIDELE 2020-2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,FACTURE DISTRIBUTEUR BEN BENJO NE REMONTE PAS DANS LE COMPTE NUMERO 1003974760 en date du 26/01/2022,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,DEMANDE D EXECUTION DE LA REQUETE,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,execution requete,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Rappel Mail,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,VENTE CLIENT NGOULA DETA FIDELE 2020-2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,DEMANDE D EXECUTION DE LA REQUETE DE COMPTE NON MOUVEMENTE,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,EXTRACTION BORDERAUX DE VENTES SOCAVER,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des consommations 2021,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Factures en validation au 14 janvier 2022,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE executée,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Projet D'états financiers EFBC,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Requete à executer,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des consommations CPLT,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE ENCAISSEMENT CHEQUE AVEC NUMERO REMISE,M3,Postes
Autres Cat. Anterieures > M3-Exécution d'une requête,Extraction des éléments de paie fin du Mois de dec21,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,REQUETE à exécuter,M3,M3
Autres Cat. Anterieures > M3-Exécution d'une requête,EXTRACTION BORDERAUX DE VENTES SOCAVER,M3,Securité
Autres Cat. Anterieures > M3-Exécution d'une requête,Extractions des comptes 70 et 443 de SABC et SOCAVER,M3,Workflows
Autres Cat. Anterieures > M3-Exécution d'une requête,ARS 200 VS ARS 225,M3,CRM
BDI > Reporting,mail diffusé,BDI,M3
BDI > Reporting,Validation OD après flashage,BDI,Postes
BDI > Reporting,demande à exécuter au niveau SQL,BDI,M3
BDI > Reporting,Besoin des requetes pour valider les sources de données sur la journée,BDI,Workflows
BDI > Reporting,"Voir avec l'équipe de développement commercial

ils doivent valider la demande",BDI,Postes
BDI > Reporting,OK dans M3,BDI,CRM
BDI > Reporting,Non réception des états des ventes par le DCM (URGENT).,BDI,Postes
BDI > Reporting,"OK

Arret des services excel",BDI,M3
BDI > Reporting,"OK

sur SABCBI102",BDI,Securité
BDI > Reporting,Rien n'a changé,BDI,CRM
CRM > Animation,Difficulté A SE CONNECTER SUR ELEADER,CRM,M3
CRM > Animation,RAPPORT DE VISITE CRM,CRM,Postes
CRM > Matériel,SOUCIS UTILISATION CRM ZONE MINDOUROU ET LOMIE,CRM,Postes
CRM > Merchandising,"eLeader - ajout produit concurrence - Produits Brasaf, Brasserie Royale, UCB 1 DANS LES OPOS",CRM,Postes
CRM > Profil,Fiche identité Monsieur EBONGOM,CRM,CRM
CRM > Profil,"Bonjour Paulin

Merci d'exécuter pour extraction, un problème avec ma connexion

SELECT MTWHLO AS DEPOT, MTITNO AS CODEARTICLE, MTTRDT AS DATETRANSACTION, MTTTYP AS TYPETRANSACTION, MTSLTP AS ZONESTOCKAGE,

MTWHSL AS EMPLACEMENT, MTRFTX AS TEXTEREF, MTTRQT AS QTETRANSACTION, MTSTNO AS STOCKDISPO, MTTRPR AS COUT

FROM MITTRA

WHERE MTCONO = 100 AND MTTTYP = '90' AND MTTRDT = 20220102

AND SUBSTRING (MTWHLO, 1,1) in ('0','1','2','3','4','5','6','7','8','9')

Cdlt",CRM,M3
CRM > Profil,"Bonjour,

Merci d’exécuter cette requête et nous la renvoyer svp.

SELECT EGDIVI AS STE, EGVSER AS JOURNAL, EGVONO AS PIECE, EGACDT AS DTE_CPTBLE, EGAIT1 AS COMPTE, EGAIT2 AS ETS, EGAIT3 AS CENTRE_COUT, EGAIT4 AS INTERCO, EGAIT5 AS PAYS,EGAIT6 AS PJT, EGAIT7 AS SEG7,EGACQT AS QTE , EGACAM AS MONTANT, EGVTXT AS LIBELLE, EGVDSC AS TYPE_PCE, EGDBCR AS SENS, EGCHID 

FROM M3FDBCM1.FGLEDG 

WHERE EGCONO=100 AND EGDIVI IN ('V00','M00') AND EGACDT BETWEEN '20211201' AND '20211231' AND EGAIT1 in ( '956710','956400','953225','953250','956100','954250','954225','954105','954800','955800','955250','955225','955105')-- AND EGAIT3 IN ('95003','95120') 

ORDER BY EGDIVI, EGAIT1, EGACDT",CRM,M3
CRM > Profil,Fichier d'interface paie à copier sur le serveur,CRM,Securité
CRM > Profil,merci intégrer 09h00,CRM,M3
CRM > Profil,merci intégrer 09h29,CRM,M3
CRM > Profil,merci intégrer 13h05,CRM,M3
CRM > Profil,merci integrer 14h33,CRM,M3
CRM > Profil,Activation du compte AS400 PROD,CRM,M3
CRM > Profil,merci d’exécuter pour permettre la mise au rebut de la fiche en question :,CRM,Securité
CRM > Profil,Prière d’exécuter la requête ci-dessous afin de faire remonter les factures dans le FAS160 et permettre l’activation des fiches sur celles-ci.,CRM,Postes
CRM > Profil,"Bonsoir HOTLINE 

Nous avons lancé le BGZ 200 des dépôts ci-dessous mais les factures ne remontent pas dans OIS 300.",CRM,Securité
CRM > Profil,"EXTRACTION BORDERAUX DE VENTES SOCAVER

URGENT

Bonjour,

Pour besoin de facturation, merci svp d'exécuter la requête ci-dessous et nous renvoyer le résultat",CRM,CRM
CRM > Profil,Extraction des consommations CPLT,CRM,M3
CRM > Profil,Activation du compte CONTRO01 pour 48h (DU 17/01/2022 au 18/01/2022 à 18H,CRM,Postes
CRM > Profil,merci intégrer 15H56,CRM,M3
CRM > Profil,merci intégrer 14h49,CRM,Postes
CRM > Profil,Mis à jour Supérieur hiérarchique FODJO Ernest,CRM,Securité
CRM > Profil,"Bonjour,

Merci exécuter la requête ci-dessous.

CDlt.

Requête CAS180 ( A exécuter via Excel, pour respecter le format des colonnes)

SELECT MMSVAD.SDWHLO, MITMAS.MMITTY, MITMAS.MMITCL, MMSVAD.SDITNO, MITMAS.MMITDS, MITMAS.MMUNMS,

MMSVAD.SDSTVN, MMSVAD.SDSVRV, SDQTSA+SDQTNS+SDQTDI, MMSVAD.SDSVAA

FROM M3FDBCM1.MITMAS MITMAS, M3FDBCM1.MMSVAD MMSVAD

WHERE (MMSVAD.SDCONO=100) AND (MMSVAD.SDDIVI In ('P00','M00','V00')) AND (MMSVAD.SDITNO=MMITNO) 

AND (MMSVAD.SDSTVN In ('P0311221','V0311221','M0311221'))

ORDER BY MMSVAD.SDWHLO, MITMAS.MMITTY, MITMAS.MMITCL, MMSVAD.SDITNO ;",CRM,Securité
CRM > Profil,Peux tu stp exécuter les requêtes ci-dessous afin de corriger le statut de cette fiche immo mise au rebut ?,CRM,CRM
CRM > Profil,merci intégrer 11h45,CRM,Securité
CRM > Profil,"Bonjour,

Pour besoin de facturation, merci svp d'exécuter la requête ci-dessous et nous renvoyer le résultat

Dans l'attente",CRM,M3
CRM > Profil,CONNEXION IMPOSSIBLE VIA ADOBE SIGN,CRM,M3
CRM > Profil,"Bonsoir Hotline

Merci d'attribuer le rôle GUSFTCO008 au profil NYAKE01",CRM,Securité
CRM > Profil,Modification supérieur hiérarchique,CRM,Securité
CRM > Profil,"Bonjour, 

Merci d’exécuter cette requête pour débloquer l’utilisateur.

SELECT * FROM M3FDBCM1.MITLOC

WHERE MLWHLO = '106' and MLINON = '1' and MLWHSL='106CM00001'; 

UPDATE M3FDBCM1.MITLOC

SET MLINON = '0'

WHERE MLWHLO = '106' and MLINON = '1' and MLWHSL='106CM00001';",CRM,Postes
CRM > Profil,"Bonsoir,

Prière de désactiver de suite le profil PENDA04

Cordialement",CRM,CRM
CRM > Profil,Extractions Décembre 2021,CRM,Securité
CRM > Profil,"Bonjour,

Merci d’exécuter cette requête usuelle de facture qui ne mouvemente pas les comptes.",CRM,M3
CRM > Profil,merci intégrer 08h26,CRM,M3
CRM > Profil,merci intégrer 10h57,CRM,Postes
CRM > Profil,merci intégrer 11h39,CRM,M3
CRM > Profil,"Bonsoir,

Prière d’exécuter la requête ci-dessous

select OACUNO, O7ORNO, O7CRID, O7CRAM, oborqa, O7RGDT, OKCUCL, OAFACI, OBITNO from M3FDBCM1.oolich, M3FDBCM1.oohead, M3FDBCM1.ooline, M3FDBCM1.ocusma where oacono=100 and oargdt between 20211001 and 20211231

and O7cono=OACONO and o7orno=OAorno and o7cono=obcono and O7orno=OBORNO and OACUNO=OKCUNO and OKCUCL IN ('100','110','111','130','131','177','160','170','120','126') and o7ponr=obponr and o7posx=obposx and (O7CRID LIKE 'R%' or O7CRID LIKE 'B%' or O7CRID LIKE 'P%')

AND OACUNO IN ('06600239','06600252', '06600268','06600358')",CRM,Securité
